key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,instr_done_touch.clicked_name,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,60fcc14129fe2cd0ac39bff1,30,2022-02-12_13h15.01.500,lexical_decision_task_DD,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.8407,1,,,,,,,,,,,,,,z,1,1.8407,,,,,,,,-0.059648437,-0.405894097,0,0,0,,0,82,82,142,1,PLASK,HB,old,z,./images/PLASKHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcc14129fe2cd0ac39bff1,30,2022-02-12_13h15.01.500,lexical_decision_task_DD,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,2.3221,1,,,,,,,,,,,,,,z,1,2.3221,,,,,,,,-0.059648437,-0.405894097,0,0,0,space,0,83,83,93,1,SMONE,C,old,z,./images/SMONE.png,,4.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcc14129fe2cd0ac39bff1,30,2022-02-12_13h15.01.500,lexical_decision_task_DD,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.8813,1,,,,,,,,,,,,,,z,1,0.8813,,,,,,,,-0.059648437,-0.405894097,0,0,0,,0,84,84,86,1,AIFED,LB,old,z,./images/AIFEDLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcc14129fe2cd0ac39bff1,30,2022-02-12_13h15.01.500,lexical_decision_task_DD,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,1.2972,1,,,,,,,,,,,,,,m,1,1.2972,,,,,,,,-0.059648437,-0.405894097,0,0,0,,0,85,85,40,1,SWING,HB,old,m,./images/SWINGHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcc14129fe2cd0ac39bff1,30,2022-02-12_13h15.01.500,lexical_decision_task_DD,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.5895,1,,,,,,,,,,,,,,z,1,0.5895,,,,,,,,-0.059648437,-0.405894097,0,0,0,,0,86,86,84,1,HAXES,C,old,z,./images/HAXES.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcc14129fe2cd0ac39bff1,30,2022-02-12_13h15.01.500,lexical_decision_task_DD,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7388,1,,,,,,,,,,,,,,m,1,0.7388,,,,,,,,-0.059648437,-0.405894097,0,0,0,,0,87,87,24,1,SCREW,C,old,m,./images/SCREW.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcc14129fe2cd0ac39bff1,30,2022-02-12_13h15.01.500,lexical_decision_task_DD,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.7383,1,,,,,,,,,,,,,,m,1,0.7383,,,,,,,,-0.059648437,-0.405894097,0,0,0,,0,88,88,21,1,KIDNEY,C,old,m,./images/KIDNEY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcc14129fe2cd0ac39bff1,30,2022-02-12_13h15.01.500,lexical_decision_task_DD,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6542,1,,,,,,,,,,,,,,z,1,0.6542,,,,,,,,-0.059648437,-0.405894097,0,0,0,,0,89,89,123,1,SEDGE,C,old,z,./images/SEDGE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcc14129fe2cd0ac39bff1,30,2022-02-12_13h15.01.500,lexical_decision_task_DD,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.731,1,,,,,,,,,,,,,,z,1,0.731,,,,,,,,-0.059648437,-0.405894097,0,0,0,,0,90,90,131,1,NACES,LB,old,z,./images/NACESLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcc14129fe2cd0ac39bff1,30,2022-02-12_13h15.01.500,lexical_decision_task_DD,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,0.6856,1,,,,,,,,,,,,,,z,1,0.6856,,,,,,,,-0.059648437,-0.405894097,0,0,0,,0,91,91,135,1,JOODY,C,old,z,./images/JOODY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
