key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.3704,1,,,,,,,,,,,,,,,,,,,,,,,,0.027777791,-0.333333346,0,0,0,,,,,,,DRILL,LB,m,y,./images/DRILLLB.png,,,,,,,,,,,,,,,,,,,,,m,1,1.3704,,,,,,,,0,97,97,81,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.8991,1,,,,,,,,,,,,,,,,,,,,,,,,0.027777791,-0.333333346,0,0,0,,,,,,,SAUNA,LB,m,y,./images/SAUNALB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.8991,,,,,,,,0,98,98,33,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.8213,1,,,,,,,,,,,,,,,,,,,,,,,,0.026851865,-0.333333346,0,0,0,,,,,,,FARMER,HB,z,y,./images/FARMERHB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.8213,,,,,,,,0,99,99,149,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.689,1,,,,,,,,,,,,,,,,,,,,,,,,0.026851865,-0.333333346,0,0,0,,,,,,,TULIP,HB,z,y,./images/TULIPHB.png,,,,,,,,,,,,,,,,,,,,,z,1,0.689,,,,,,,,0,100,100,92,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.0797,0,,,,,,,,,,,,,,,,,,,,,,,,0.026851865,-0.333333346,0,0,0,,,,,,,GRANNY,HB,m,y,./images/GRANNYHB.png,,,,,,,,,,,,,,,,,,,,,z,0,1.0797,,,,,,,,0,101,101,20,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.1206,1,,,,,,,,,,,,,,,,,,,,,,,,0.026851865,-0.333333346,0,0,0,,,,,,,STAIN,LB,m,y,./images/STAINLB.png,,,,,,,,,,,,,,,,,,,,,m,1,1.1206,,,,,,,,0,102,102,6,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.5412,1,,,,,,,,,,,,,,,,,,,,,,,,0.026851865,-0.333333346,0,0,0,,,,,,,PAINT,C,z,y,./images/PAINT.png,,,,,,,,,,,,,,,,,,,,,z,1,1.5412,,,,,,,,0,103,103,91,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.869,0,,,,,,,,,,,,,,,,,,,,,,,,0.026851865,-0.333333346,0,0,0,,,,,,,CRUST,C,z,y,./images/CRUST.png,,,,,,,,,,,,,,,,,,,,,m,0,0.869,,,,,,,,0,104,104,163,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.2082,1,,,,,,,,,,,,,,,,,,,,,,,,0.027777791,-0.333333346,0,0,0,,,,,,,COUCH,HB,z,y,./images/COUCHHB.png,,,,,,,,,,,,,,,,,,,,,z,1,1.2082,,,,,,,,0,105,105,161,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.6317,0,,,,,,,,,,,,,,,,,,,,,,,,0.031481495,-0.334259272,0,0,0,,,,,,,CRUMB,HB,z,y,./images/CRUMBHB.png,,,,,,,,,,,,,,,,,,,,,m,0,0.6317,,,,,,,,0,106,106,113,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.5165,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.335185254,0,0,0,,,,,,,SHORE,LB,z,y,./images/SHORELB.png,,,,,,,,,,,,,,,,,,,,,z,1,1.5165,,,,,,,,0,107,107,96,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.9535,0,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.335185254,0,0,0,,,,,,,DESERT,C,m,y,./images/DESERT.png,,,,,,,,,,,,,,,,,,,,,z,0,1.9535,,,,,,,,0,108,108,52,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.1207,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.335185254,0,0,0,,,,,,,CANYON,C,z,y,./images/CANYON.png,,,,,,,,,,,,,,,,,,,,,z,1,1.1207,,,,,,,,0,109,109,118,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,1.2699,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.335185254,0,0,0,,,,,,,TWINS,LB,z,y,./images/TWINSLB.png,,,,,,,,,,,,,,,,,,,,,z,1,1.2699,,,,,,,,0,110,110,144,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.5979,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.335185254,0,0,0,,,,,,,RULER,C,m,y,./images/RULER.png,,,,,,,,,,,,,,,,,,,,,m,1,0.5979,,,,,,,,0,111,111,79,1,
,,,,,,,,,,,,,,,,,614f56ca93028ed09c869a69,59,2022-02-12_16h56.24.709,lexical_decision_task_DD_L6,2021.2.3,Win32,59.35774915,,,,,,,,,,,0.7587,1,,,,,,,,,,,,,,,,,,,,,,,,0.032407421,-0.335185254,0,0,0,,,,,,,MUSCLE,C,z,y,./images/MUSCLE.png,,,,,,,,,,,,,,,,,,,,,z,1,0.7587,,,,,,,,0,112,112,88,1,
