key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.828,1,,,,,,,,,,,,,,m,1,0.828,,,,,,,,0.015238095,-0.433333333,0,0,0,,0,130,130,79,1,CRUST,LB,old,m,./images/CRUSTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.725,1,,,,,,,,,,,,,,m,1,0.725,,,,,,,,0.015238095,-0.433333333,0,0,0,,0,131,131,52,1,BANNER,LB,old,m,./images/BANNERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.931,1,,,,,,,,,,,,,,m,1,0.931,,,,,,,,0.015238095,-0.433333333,0,0,0,,0,132,132,58,1,BABOON,LB,old,m,./images/BABOONLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.824,1,,,,,,,,,,,,,,m,1,0.824,,,,,,,,0.015238095,-0.433333333,0,0,0,,0,133,133,38,1,LADDER,C,old,m,./images/LADDER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.734,1,,,,,,,,,,,,,,m,1,0.734,,,,,,,,0.015238095,-0.433333333,0,0,0,,0,134,134,20,1,CRADLE,C,old,m,./images/CRADLE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.779,1,,,,,,,,,,,,,,z,1,0.779,,,,,,,,0.015238095,-0.433333333,0,0,0,,0,135,135,140,1,DOVET,LB,old,z,./images/DOVETLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.835,1,,,,,,,,,,,,,,m,1,0.835,,,,,,,,0.015238095,-0.433333333,0,0,0,,0,136,136,83,1,JUNGLE,C,old,m,./images/JUNGLE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.73,1,,,,,,,,,,,,,,m,1,0.73,,,,,,,,0.015238095,-0.433333333,0,0,0,,0,137,137,43,1,MOSQUE,LB,old,m,./images/MOSQUELB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,0.749,1,,,,,,,,,,,,,,m,1,0.749,,,,,,,,0.015238095,-0.433333333,0,0,0,,0,138,138,57,1,MOOSE,HB,old,m,./images/MOOSEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5dceb9be381b67000e061142,65,2022-02-12_17h05.47.309,lexical_decision_task_DD_L2,2021.2.3,MacIntel,52.63157895,,,,,,,,,,,1.215,1,,,,,,,,,,,,,,z,1,1.215,,,,,,,,0.015238095,-0.433333333,0,0,0,,0,139,139,102,1,DULLE,C,old,z,./images/DULLE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
