key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,key_resp.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,2.7447,1,,,,,,,,,,,,,,,,,,,,,,,,,0.364108304,0.273451954,0,0,0,,,,,,,INFANT,C,z,y,./images/INFANT.png,,,,,,,,,,,,,,,,,,,,z,1,2.7447,,,,,,,,0,84,84,160,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.5185,1,,,,,,,,,,,,,,,,,,,,,,,,,0.364108304,0.273451954,0,0,0,,,,,,,DRILL,LB,m,y,./images/DRILLLB.png,,,,,,,,,,,,,,,,,,,,m,1,1.5185,,,,,,,,0,85,85,81,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.1236,1,,,,,,,,,,,,,,,,,,,,,,,,,0.364108304,0.273451954,0,0,0,,,,,,,BUBBLE,HB,m,y,./images/BUBBLEHB.png,,,,,,,,,,,,,,,,,,,,m,1,1.1236,,,,,,,,0,86,86,71,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,2.7413,1,,,,,,,,,,,,,,,,,,,,,,,,,0.364108304,0.273451954,0,0,0,,,,,,,BEARD,HB,z,y,./images/BEARDHB.png,,,,,,,,,,,,,,,,,,,,z,1,2.7413,,,,,,,,0,87,87,86,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.5843,1,,,,,,,,,,,,,,,,,,,,,,,,,0.364108304,0.273451954,0,0,0,,,,,,,CRUMB,HB,z,y,./images/CRUMBHB.png,,,,,,,,,,,,,,,,,,,,z,1,1.5843,,,,,,,,0,88,88,113,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,2.1019,0,,,,,,,,,,,,,,,,,,,,,,,,,0.364108304,0.273451954,0,0,0,,,,,,,JUNGLE,HB,z,y,./images/JUNGLEHB.png,,,,,,,,,,,,,,,,,,,,m,0,2.1019,,,,,,,,0,89,89,167,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,3.3056,1,,,,,,,,,,,,,,,,,,,,,,,,,0.364108304,0.273451954,0,0,0,,,,,,,PEARL,C,z,y,./images/PEARL.png,,,,,,,,,,,,,,,,,,,,z,1,3.3056,,,,,,,,0,90,90,130,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.2412,1,,,,,,,,,,,,,,,,,,,,,,,,,0.364108304,0.273451954,0,0,0,,,,,,,BOILER,LB,m,y,./images/BOILERLB.png,,,,,,,,,,,,,,,,,,,,m,1,1.2412,,,,,,,,0,91,91,36,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.2219,0,,,,,,,,,,,,,,,,,,,,,,,,,0.364108304,0.273451954,0,0,0,,,,,,,BAMBOO,HB,m,y,./images/BAMBOOHB.png,,,,,,,,,,,,,,,,,,,,z,0,1.2219,,,,,,,,0,92,92,5,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.1546,1,,,,,,,,,,,,,,,,,,,,,,,,,0.364108304,0.273451954,0,0,0,,,,,,,MEDAL,HB,m,y,./images/MEDALHB.png,,,,,,,,,,,,,,,,,,,,m,1,1.1546,,,,,,,,0,93,93,11,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.0164,0,,,,,,,,,,,,,,,,,,,,,,,,,0.364108304,0.273451954,0,0,0,,,,,,,CANYON,C,z,y,./images/CANYON.png,,,,,,,,,,,,,,,,,,,,m,0,1.0164,,,,,,,,0,94,94,118,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.1854,1,,,,,,,,,,,,,,,,,,,,,,,,,0.364108304,0.273451954,0,0,0,,,,,,,ATTIC,LB,z,y,./images/ATTICLB.png,,,,,,,,,,,,,,,,,,,,z,1,1.1854,,,,,,,,0,95,95,111,1,
,,,,,,,,,,,,,,,,,5c91b7eabc1a950001fbfdca,20,2022-02-12_12h42.32.959,lexical_decision_task_DD_L6,2021.2.3,Win32,59.86948452,,,,,,,,,,,1.151,1,,,,,,,,,,,,,,,,,,,,,,,,,0.364108304,0.273451954,0,0,0,,,,,,,CRATER,LB,m,y,./images/CRATERLB.png,,,,,,,,,,,,,,,,,,,,m,1,1.151,,,,,,,,0,96,96,3,1,
