key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_keyboard.rt
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,0.786,1,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,ALLEY,C,m,y,./images/ALLEY.png,,,,,,,,,,,,,,,,,,,,,m,1,0.786,,,,,,,,0,80,80,55,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,1.042,1,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,MUSCLE,C,z,y,./images/MUSCLE.png,,,,,,,,,,,,,,,,,,,,,z,1,1.042,,,,,,,,0,81,81,88,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,0.747,0,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,WHEEL,HB,m,y,./images/WHEELHB.png,,,,,,,,,,,,,,,,,,,,,z,0,0.747,,,,,,,,0,82,82,77,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,0.709,0,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,space,,,,,,CANDY,LB,m,y,./images/CANDYLB.png,,,,,,,,,,,,,,,,,,,,,z,0,0.709,,,,,,,,0,83,83,39,1,2.579
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,1.011,1,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,JELLY,C,z,y,./images/JELLY.png,,,,,,,,,,,,,,,,,,,,,z,1,1.011,,,,,,,,0,84,84,148,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,1.072,1,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,BAKER,LB,m,y,./images/BAKERLB.png,,,,,,,,,,,,,,,,,,,,,m,1,1.072,,,,,,,,0,85,85,63,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,17.065,0,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,PASTA,HB,z,y,./images/PASTAHB.png,,,,,,,,,,,,,,,,,,,,,m,0,17.065,,,,,,,,0,86,86,89,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,0.665,1,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,WAGON,C,m,y,./images/WAGON.png,,,,,,,,,,,,,,,,,,,,,m,1,0.665,,,,,,,,0,87,87,7,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,0.738,1,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,FLESH,LB,m,y,./images/FLESHLB.png,,,,,,,,,,,,,,,,,,,,,m,1,0.738,,,,,,,,0,88,88,24,1,
,,,,,,,,,,,,,,,,,5dcdef4dd30a0e0acb5b6fba,,2022-02-12_13h35.05.408,lexical_decision_task_DD_L6,2021.2.3,Win32,62.81407035,,,,,,,,,,,0.652,0,,,,,,,,,,,,,,,,,,,,,,,,0.20703125,-0.229166667,0,0,0,,,,,,,BARREL,HB,z,y,./images/BARRELHB.png,,,,,,,,,,,,,,,,,,,,,m,0,0.652,,,,,,,,0,89,89,116,1,
