key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_touch.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.5456,1,,,,,,,,,,,,,,m,1,0.5456,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,91,91,31,1,STEAK,C,m,m,./images/STEAK.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.7926,1,,,,,,,,,,,,,,z,1,0.7926,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,92,92,94,1,BLANS,HB,z,z,./images/BLANSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.6282,1,,,,,,,,,,,,,,z,1,0.6282,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,93,93,134,1,TROSS,LB,z,z,./images/TROSSLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.74,1,,,,,,,,,,,,,,z,1,0.74,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,94,94,99,1,BACKY,C,z,z,./images/BACKY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.628,1,,,,,,,,,,,,,,z,1,0.628,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,95,95,136,1,WERVE,HB,z,z,./images/WERVEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.6113,1,,,,,,,,,,,,,,z,1,0.6113,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,96,96,119,1,PAFER,LB,z,z,./images/PAFERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.6255,1,,,,,,,,,,,,,,m,1,0.6255,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,97,97,75,1,HAMMER,LB,m,m,./images/HAMMERLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,1.193,1,,,,,,,,,,,,,,z,1,1.193,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,98,98,91,1,SHENS,HB,z,z,./images/SHENSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.5284,1,,,,,,,,,,,,,,z,1,0.5284,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,99,99,125,1,MOOKY,LB,z,z,./images/MOOKYLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.7408,1,,,,,,,,,,,,,,m,1,0.7408,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,100,100,81,1,DRILL,LB,m,m,./images/DRILLLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.6616,1,,,,,,,,,,,,,,z,1,0.6616,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,101,101,157,1,INLER,HB,z,z,./images/INLERHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.5309,1,,,,,,,,,,,,,,m,1,0.5309,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,102,102,10,1,GARDEN,C,m,m,./images/GARDEN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.6829,1,,,,,,,,,,,,,,z,1,0.6829,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,103,103,146,1,MOOST,LB,z,z,./images/MOOSTLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.7446,1,,,,,,,,,,,,,,z,1,0.7446,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,104,104,159,1,CUDDY,C,z,z,./images/CUDDY.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,60fcaf5a13b051f5c8d978f2,19,2022-02-12_13h47.49.617,lexical_decision_task_DD_L6,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,0.5896,1,,,,,,,,,,,,,,z,1,0.5896,,,,,,,,0.011510417,-0.392621528,0,0,0,,0,105,105,111,1,HOSSE,C,z,z,./images/HOSSE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
