key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,key_resp_2.rt,break_done_keyboard.rt,break_done_touch.clicked_name,key_resp.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,0.7413,1,,,,,,,,,,,,,,z,1,,,,,,,,0.209178228,-0.306830309,0,0,0,,0,16,16,126,1,GUELS,C,old,z,./images/GUELS.png,0.7413,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,1.3009,1,,,,,,,,,,,,,,z,1,,,,,,,,0.209178228,-0.306830309,0,0,0,,0,17,17,134,1,TROSS,LB,old,z,./images/TROSSLB.png,1.3009,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,0.9962,1,,,,,,,,,,,,,,m,1,,,,,,,,0.209178228,-0.306830309,0,0,0,,0,18,18,55,1,ALLEY,LB,old,m,./images/ALLEYLB.png,0.9962,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,1.3344,1,,,,,,,,,,,,,,m,1,,,,,,,,0.209178228,-0.306830309,0,0,0,,0,19,19,58,1,CANOE,LB,old,m,./images/CANOELB.png,1.3344,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,1.0935,0,,,,,,,,,,,,,,m,0,,,,,,,,0.209178228,-0.306830309,0,0,0,,0,20,20,142,1,PLASK,HB,old,z,./images/PLASKHB.png,1.0935,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,0.741,1,,,,,,,,,,,,,,m,1,,,,,,,,0.209178228,-0.306830309,0,0,0,,0,21,21,61,1,ARTIST,LB,old,m,./images/ARTISTLB.png,0.741,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,0.7245,1,,,,,,,,,,,,,,z,1,,,,,,,,0.209178228,-0.306830309,0,0,0,,0,22,22,89,1,DRIEK,LB,old,z,./images/DRIEKLB.png,0.7245,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,0.8094,1,,,,,,,,,,,,,,z,1,,,,,,,,0.209178228,-0.306830309,0,0,0,,0,23,23,159,1,CUDDY,C,old,z,./images/CUDDY.png,0.8094,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,1.6624,1,,,,,,,,,,,,,,z,1,,,,,,,,0.209178228,-0.306830309,0,0,0,,0,24,24,115,1,MAWNS,HB,old,z,./images/MAWNSHB.png,1.6624,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,199012,18,2022-01-28_15h58.13.098,lexical_decision_task_DD_L5,2021.2.3,Win32,74.91759065,,,,,,,,,,0.9734,1,,,,,,,,,,,,,,z,1,,,,,,,,0.209178228,-0.306830309,0,0,0,,0,25,25,99,1,BACKY,C,old,z,./images/BACKY.png,0.9734,,,,,,,,,,,,,,,,,,,,,,,
