key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.804,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,PEBBLE,C,old,y,./images/PEBBLE.png,,,,,,,m,0,0.804,,,,,,,,0,81,81,82,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.754,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,CANYON,C,new,y,./images/CANYON.png,,,,,,,z,0,0.754,,,,,,,,0,82,82,118,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.777,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,space,,,,,,QUILL,C,new,y,./images/QUILL.png,23.097,,,,,,z,0,0.777,,,,,,,,0,83,83,115,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.571,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,BROOM,LB,old,y,./images/BROOMLB.png,,,,,,,m,0,0.571,,,,,,,,0,84,84,78,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.792,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,BELLY,C,new,y,./images/BELLY.png,,,,,,,z,0,0.792,,,,,,,,0,85,85,94,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.773,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,JAGUAR,LB,new,y,./images/JAGUARLB.png,,,,,,,z,0,0.773,,,,,,,,0,86,86,102,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.691,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,SAUCE,LB,old,y,./images/SAUCELB.png,,,,,,,m,0,0.691,,,,,,,,0,87,87,51,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.525,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,CHERRY,LB,old,y,./images/CHERRYLB.png,,,,,,,m,0,0.525,,,,,,,,0,88,88,54,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.707,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,COOKER,LB,new,y,./images/COOKERLB.png,,,,,,,z,0,0.707,,,,,,,,0,89,89,153,1
,,,,,,,,,,,,,,,,,200020,19,2022-01-25_20h52.26.870,lexical_decision_task_DD_L6,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,0.579,0,,,,,,,,,,,,,,,,,,,,,,,,0.011724138,-0.356551724,0,0,0,,,,,,,ALLEY,C,old,y,./images/ALLEY.png,,,,,,,z,0,0.579,,,,,,,,0,90,90,55,1
