key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,1.182,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,CRATER,C,z,m,./images/CRATER.png,,,,,,,,z,1,1.182,,,,,,,,0,66,66,87,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.896,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,COOKER,C,m,m,./images/COOKER.png,,,,,,,,m,1,0.896,,,,,,,,0,67,67,69,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.986,0,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,BELLY,HB,m,m,./images/BELLYHB.png,,,,,,,,z,0,0.986,,,,,,,,0,68,68,10,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,1.604,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,STOOL,HB,z,m,./images/STOOLHB.png,,,,,,,,z,1,1.604,,,,,,,,0,69,69,127,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,2.094,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,RHINO,C,m,m,./images/RHINO.png,,,,,,,,m,1,2.094,,,,,,,,0,70,70,9,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,1.764,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,PAINT,HB,m,m,./images/PAINTHB.png,,,,,,,,m,1,1.764,,,,,,,,0,71,71,7,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,3.214,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,BASKET,LB,z,m,./images/BASKETLB.png,,,,,,,,z,1,3.214,,,,,,,,0,72,72,128,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,1.93,0,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,SAUCE,C,z,m,./images/SAUCE.png,,,,,,,,m,0,1.93,,,,,,,,0,73,73,135,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.855,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,WHISKY,LB,z,m,./images/WHISKYLB.png,,,,,,,,z,1,0.855,,,,,,,,0,74,74,167,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.745,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,GREASE,C,m,m,./images/GREASE.png,,,,,,,,m,1,0.745,,,,,,,,0,75,75,15,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,0.964,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,STORM,C,m,m,./images/STORM.png,,,,,,,,m,1,0.964,,,,,,,,0,76,76,30,1
,,,,,,,,,,,,,,,,,199150,19,2022-01-29_15h45.13.800,lexical_decision_task_DD,2021.2.3,MacIntel,62.5,,,,,,,,,,,2.514,1,,,,,,,,,,,,,,,,,,,,,,,,-0.004444444,-0.344444444,0,0,0,,,,,,,ONION,C,m,m,./images/ONION.png,,,,,,,,m,1,2.514,,,,,,,,0,77,77,51,1
