key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran,break_done_touch.clicked_name
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,1.063,1,,,,,,,,,,,,,,,,,,,,,,,,0.35,-0.316666667,1,0,0,,,,,,,CANDLE,LB,m,y,./images/CANDLELB.png,,,,,,,,0,0.35,-0.316666667,1,0,0,1.063,button_right_test,0,55,55,61,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.797,1,,,,,,,,,,,,,,,,,,,,,,,,0.322222222,-0.266666667,1,0,0,,,,,,,SKIING,C,m,y,./images/SKIING.png,,,,,,,,0,0.322222222,-0.266666667,1,0,0,0.797,button_right_test,0,56,56,17,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.88,0,,,,,,,,,,,,,,,,,,,,,,,,0.297777778,-0.323333333,1,0,0,,,,,,,FLESH,HB,z,y,./images/FLESHHB.png,,,,,,,,0,0.297777778,-0.323333333,1,0,0,0.88,button_right_test,0,57,57,108,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.714,0,,,,,,,,,,,,,,,,,,,,,,,,0.296666667,-0.324444444,1,0,0,,,,,,,TIGER,LB,z,y,./images/TIGERLB.png,,,,,,,,0,0.296666667,-0.324444444,1,0,0,0.714,button_right_test,0,58,58,121,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.713,0,,,,,,,,,,,,,,,,,,,,,,,,0.296666667,-0.324444444,1,0,0,,,,,,,MAMMAL,C,z,y,./images/MAMMAL.png,,,,,,,,0,0.296666667,-0.324444444,1,0,0,0.713,button_right_test,0,59,59,146,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,1.164,0,,,,,,,,,,,,,,,,,,,,,,,,0.295555556,-0.322222222,1,0,0,,,,,,,CURRY,HB,z,y,./images/CURRYHB.png,,,,,,,,0,0.295555556,-0.322222222,1,0,0,1.164,button_right_test,0,60,60,144,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.749,1,,,,,,,,,,,,,,,,,,,,,,,,0.261111111,-0.301111111,1,0,0,,,,,,,CRUMB,C,m,y,./images/CRUMB.png,,,,,,,,0,0.261111111,-0.301111111,1,0,0,0.749,button_right_test,0,61,61,29,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.864,1,,,,,,,,,,,,,,,,,,,,,,,,-0.353333333,-0.252222222,1,0,0,,,,,,,BRUSH,C,z,y,./images/BRUSH.png,,,,,,,,0,-0.353333333,-0.252222222,1,0,0,0.864,button_left_test,0,62,62,143,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.847,0,,,,,,,,,,,,,,,,,,,,,,,,-0.354444444,-0.251111111,1,0,0,,,,,,,PACKET,C,m,y,./images/PACKET.png,,,,,,,,0,-0.354444444,-0.251111111,1,0,0,0.847,button_left_test,0,63,63,56,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,0.732,0,,,,,,,,,,,,,,,,,,,,,,,,0.243333333,-0.334444444,1,0,0,,,,,,,CLIFF,C,z,y,./images/CLIFF.png,,,,,,,,0,0.243333333,-0.334444444,1,0,0,0.732,button_right_test,0,64,64,92,1,
,,,,,,,,,,,,,,,,,199369,18,2022-01-29_21h37.34.497,lexical_decision_task_DD_L2,2021.2.3,MacIntel,58.82352941,,,,,,,,,,1.531,1,,,,,,,,,,,,,,,,,,,,,,,,-0.302222222,-0.338888889,1,0,0,,,,,,,FERRY,HB,z,y,./images/FERRYHB.png,,,,,,,,0,-0.302222222,-0.338888889,1,0,0,1.531,button_left_test,0,65,65,141,1,
