key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,break_done_touch.clicked_name,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7977,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,MOOSE,LB,old,y,./images/MOOSELB.png,,,,,,,,,m,0,0.7977,,,,,,,,0,109,109,57,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6712,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,PIMPLE,HB,old,y,./images/PIMPLEHB.png,,,,,,,,,z,0,0.6712,,,,,,,,0,110,110,71,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.785,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,SLOPE,LB,new,y,./images/SLOPELB.png,,,,,,,,,z,0,0.785,,,,,,,,0,111,111,114,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.5811,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,BELLY,C,old,y,./images/BELLY.png,,,,,,,,,m,0,0.5811,,,,,,,,0,112,112,10,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7469,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,JUMPER,HB,new,y,./images/JUMPERHB.png,,,,,,,,,z,0,0.7469,,,,,,,,0,113,113,158,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.3522,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,STREAM,HB,new,y,./images/STREAMHB.png,,,,,,,,,z,0,1.3522,,,,,,,,0,114,114,125,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7526,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,WALNUT,LB,new,y,./images/WALNUTLB.png,,,,,,,,,z,0,0.7526,,,,,,,,0,115,115,84,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6367,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,BAKER,LB,new,y,./images/BAKERLB.png,,,,,,,,,m,0,0.6367,,,,,,,,0,116,116,147,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7154,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,TOWEL,C,new,y,./images/TOWEL.png,,,,,,,,,z,0,0.7154,,,,,,,,0,117,117,85,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.653,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,CRUST,C,old,y,./images/CRUST.png,,,,,,,,,m,0,0.653,,,,,,,,0,118,118,79,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6858,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,GARDEN,C,new,y,./images/GARDEN.png,,,,,,,,,z,0,0.6858,,,,,,,,0,119,119,94,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.7346,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,FOLDER,LB,old,y,./images/FOLDERLB.png,,,,,,,,,z,0,0.7346,,,,,,,,0,120,120,42,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,0.6361,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,DRILL,LB,new,y,./images/DRILLLB.png,,,,,,,,,z,0,0.6361,,,,,,,,0,121,121,165,1
,,,,,,,,,,,,,,,,,199447,18,2022-01-25_21h29.09.153,lexical_decision_task_DD_L3,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,1.3024,0,,,,,,,,,,,,,,,,,,,,,,,,0.017533482,-0.383962054,0,0,0,,,,,,,VALLEY,HB,new,y,./images/VALLEYHB.png,,,,,,,,,m,0,1.3024,,,,,,,,0,122,122,152,1
