key_resp.keys,key_resp.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,age,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practrials.thisRepN,practrials.thisTrialN,practrials.thisN,practrials.thisIndex,practrials.ran,TrialID,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,maintrials.thisRepN,maintrials.thisTrialN,maintrials.thisN,maintrials.thisIndex,maintrials.ran,string,blur,study,lex,stim_path,break_done_keyboard.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,test_instructions.thisRepN,test_instructions.thisTrialN,test_instructions.thisN,test_instructions.thisIndex,test_instructions.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,test_click.x,test_click.y,test_click.leftButton,test_click.midButton,test_click.rightButton,test_click.time,test_click.clicked_name,test_phase.thisRepN,test_phase.thisTrialN,test_phase.thisN,test_phase.thisIndex,test_phase.ran
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.8068,1,,,,,,,,,,,,,,z,1,0.8068,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,123,123,102,1,DULLE,C,old,z,./images/DULLE.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.7074,1,,,,,,,,,,,,,,m,1,0.7074,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,124,124,74,1,JUMPER,C,old,m,./images/JUMPER.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.7564,1,,,,,,,,,,,,,,m,1,0.7564,,,,,,,,0.152171427,-0.43665324,0,0,0,space,0,125,125,34,1,RAZOR,LB,old,m,./images/RAZORLB.png,9.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,1.3954,1,,,,,,,,,,,,,,z,1,1.3954,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,126,126,106,1,CLUMS,HB,old,z,./images/CLUMSHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.7075,1,,,,,,,,,,,,,,m,1,0.7075,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,127,127,47,1,LAGOON,C,old,m,./images/LAGOON.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.7892,1,,,,,,,,,,,,,,z,1,0.7892,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,128,128,86,1,AIFED,LB,old,z,./images/AIFEDLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.5655,1,,,,,,,,,,,,,,m,1,0.5655,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,129,129,10,1,GARDEN,LB,old,m,./images/GARDENLB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.6234,0,,,,,,,,,,,,,,m,0,0.6234,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,130,130,166,1,SHORY,HB,old,z,./images/SHORYHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,0.6272,1,,,,,,,,,,,,,,m,1,0.6272,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,131,131,66,1,STATUE,HB,old,m,./images/STATUEHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,58a2952076c5b7000166150a,64,2022-02-12_13h48.57.825,lexical_decision_task_DD_L5,2021.2.3,Win32,60.7348922,,,,,,,,,,,,1.029,1,,,,,,,,,,,,,,m,1,1.029,,,,,,,,0.152171427,-0.43665324,0,0,0,,0,132,132,6,1,STAIN,HB,old,m,./images/STAINHB.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
